image_name,target
ISIC_0052060,0.023165673886761398
ISIC_0052349,0.022531026522904358
ISIC_0058510,0.022636182968604722
ISIC_0073313,0.021412877523207335
ISIC_0073502,0.023628037098919655
ISIC_0074618,0.025563555530526604
ISIC_0076801,0.029322357938814332
ISIC_0077586,0.033236416430526605
ISIC_0082004,0.030955928047390883
ISIC_0082785,0.028644221227622703
ISIC_0085332,0.020062982567934092
ISIC_0087243,0.024753505200599192
ISIC_0088167,0.0220442385070182
ISIC_0089356,0.023549917864507698
ISIC_0090283,0.03069143587364674
ISIC_0092481,0.021548905788630387
ISIC_0095455,0.02223178859027622
ISIC_0095790,0.025788526609182124
ISIC_0097719,0.09202759991741727
ISIC_0099348,0.03547166733719334
ISIC_0101040,0.027657302730526603
ISIC_0101383,0.025806528929718044
ISIC_0105104,0.0819628327679341
ISIC_0108196,0.03172335507364674
ISIC_0112420,0.5995410554645078
ISIC_0114232,0.02034950806793409
ISIC_0115798,0.025771493970506286
ISIC_0116844,0.023541072768604725
ISIC_0126432,0.026804916929725815
ISIC_0131485,0.019268040086761397
ISIC_0131912,0.02021462906793409
ISIC_0131978,0.023910996853385776
ISIC_0139322,0.027461791890276217
ISIC_0142066,0.027740316215619853
ISIC_0143109,0.027270102638814336
ISIC_0148210,0.03719512802290436
ISIC_0148937,0.05335948347316622
ISIC_0150213,0.0224865081645077
ISIC_0152553,0.023090872653686617
ISIC_0153127,0.0240073553610184
ISIC_0154289,0.025206445497696617
ISIC_0155813,0.10365753912971805
ISIC_0155983,0.2295269943493572
ISIC_0157088,0.02426934772290435
ISIC_0158761,0.022769532177402265
ISIC_0161963,0.054547925991296174
ISIC_0165178,0.05115716839400532
ISIC_0165230,0.04323893631561986
ISIC_0165615,0.019698000817417276
ISIC_0165617,0.023340940022904353
ISIC_0165674,0.021137469667934092
ISIC_0165928,0.026418086033721144
ISIC_0166561,0.024924829438814335
ISIC_0168125,0.02438363636793409
ISIC_0169378,0.03130521666599663
ISIC_0169575,0.019798321468604725
ISIC_0169906,0.2474393554533858
ISIC_0171865,0.06637624647558414
ISIC_0172678,0.02465995650059919
ISIC_0174800,0.025908073088630384
ISIC_0175014,0.0333952031070182
ISIC_0175798,0.04214684246860472
ISIC_0176152,0.03906331432972582
ISIC_0177083,0.021192748367934094
ISIC_0178235,0.10794093405355465
ISIC_0178258,0.024380283922904356
ISIC_0178428,0.04831290668863039
ISIC_0178741,0.045171869014959426
ISIC_0180057,0.03090239078863039
ISIC_0182213,0.1859924703540729
ISIC_0183334,0.022928288110972896
ISIC_0183449,0.06124292107473714
ISIC_0183658,0.02522852522972582
ISIC_0183771,0.05033013610918213
ISIC_0186715,0.04567525669769662
ISIC_0187786,0.01994978406793409
ISIC_0188485,0.03363712482290435
ISIC_0191895,0.05903654190059919
ISIC_0192184,0.02638346486141674
ISIC_0192807,0.022191895232937645
ISIC_0193289,0.1144326404536866
ISIC_0194115,0.023038297517417275
ISIC_0195744,0.04432510136017723
ISIC_0195995,0.024784759822904356
ISIC_0196159,0.04836587902971804
ISIC_0196622,0.021655037329718043
ISIC_0196807,0.0299099826610184
ISIC_0197182,0.022470083005124413
ISIC_0197440,0.057322862687971474
ISIC_0197860,0.04724187542972581
ISIC_0198376,0.021505874565996636
ISIC_0198622,0.02222078792322363
ISIC_0199195,0.021834671153686615
ISIC_0199718,0.02238481462972582
ISIC_0199780,0.027125273571579553
ISIC_0200120,0.14509118721892778
ISIC_0204399,0.021682015870526677
ISIC_0204875,0.023714246170526677
